sn,phase,peak
0,1265,206,
1,1777,253,
2,1827,-512,
3,1902,-327,
4,1944,-288,
5,57,-231,
6,203,-257,
7,306,-205,
8,346,202,
9,393,212,
10,443,243,
11,494,-249,
12,548,-308,
13,586,-267,
14,746,-512,
15,861,482
16,902,-512
17,953,-512
18,990,-230
19,1027,-222
20,1067,251
21,1101,-221
22,1134,-212
23,1169,-232
24,1203,245
25,1283,-207
26,1331,220
27,1367,333
28,1401,-304
29,1438,-512
30,1487,-512
31,1529,264
32,1563,-281
33,1597,-306
34,1631,-512
35,1678,-512
36,1715,-512
37,1774,-512
38,1818,296
39,1852,-512
40,1901,-253
41,1937,-269
42,18,-272
43,53,257
44,100,-261
45,135,211
46,170,208
47,203,281
48,239,213
49,283,231
50,313,-210
51,353,235
52,391,-243
53,425,-268
54,470,244
55,504,206
56,537,-206
57,571,-280
58,604,361
59,642,-402
60,674,-311
61,708,-257
62,741,-512
63,790,-512
64,838,-261
65,872,215
66,905,353
67,952,277
68,993,-218
69,1040,-248
70,1084,-233
71,1124,216
72,1179,-229
73,1226,214
74,1256,232
75,1312,-234
76,1348,-251
77,1429,-327
78,1533,-512
79,1617,-512
80,1664,-512
81,1721,-512
82,1757,464
83,1809,-264
84,1837,294
85,1879,-512
86,1927,-512
87,38,203
88,123,260
89,179,218
90,196,206
91,221,253
92,238,295
93,255,241
94,271,224
95,287,212
96,303,-229
97,319,204
98,336,203
99,354,223
100,368,-205
101,384,-318
102,399,-356
103,414,-402
104,430,294
105,448,504
106,464,-331
107,478,400
108,493,273
109,508,-366
110,523,276
111,538,-232
112,553,213
113,568,315
114,586,-315
115,599,-358
116,613,-383
117,629,-207
118,645,208
119,660,-299
120,675,326
121,690,-232
122,705,-205
123,721,367
124,736,-512
125,758,288
126,774,-512
127,800,282
128,817,-340
129,834,-512
130,858,334
131,874,-512
132,893,-277
133,911,306
134,927,333
135,945,311
136,962,-512
137,987,-202
138,1002,259
139,1021,-207
140,1037,204
141,1051,216
142,1072,237
143,1091,236
144,1106,278
145,1124,-202
146,1136,-205
147,1154,-214
148,1166,226
149,1183,-216
150,1198,323
151,1215,-209
152,1231,215
153,1247,224
154,1262,268
155,1281,245
156,1297,-214
157,1318,206
158,1339,-212
159,1356,-234
160,1371,268
161,1387,250
162,1403,-296
163,1419,-512
164,1439,-280
165,1457,-512
166,1481,-512
167,1507,-512
168,1531,-512
169,1555,-263
170,1571,-512
171,1599,-512
172,1617,-263
173,1635,-454
174,1652,-231
175,1670,-512
176,1692,276
177,1710,-512
178,1733,-512
179,1756,-512
180,1794,-512
181,1826,-512
182,1856,-332
183,1880,373
184,1903,-286
185,1924,-512
186,12,-222
187,29,-210
188,51,257
189,71,212
190,110,-224
191,141,-214
192,181,224
193,273,-215
194,316,-216
195,374,213
196,415,-325
197,476,-385
198,508,-282
199,541,-227
200,563,293
201,622,204
202,723,-512
203,748,-232
204,772,-512
205,792,-512
206,815,-242
207,839,309
208,852,-512
209,875,-512
210,895,-512
211,919,-512
212,938,-433
213,956,-512
214,981,289
215,998,-232
216,1017,-296
217,1037,202
218,1058,208
219,1077,242
220,1098,-253
221,1114,-244
222,1131,-226
223,1148,-209
224,1166,216
225,1184,243
226,1202,203
227,1221,312
228,1238,222
229,1256,261
230,1274,203
231,1297,217
232,1314,249
233,1337,-259
234,1355,222
235,1371,219
236,1389,246
237,1406,-204
238,1429,-280
239,1441,-512
240,1466,-512
241,1492,-512
242,1510,-512
243,1534,-512
244,1553,-254
245,1570,255
246,1588,-264
247,1606,-512
248,1629,220
249,1647,-370
250,1663,-249
251,1681,-512
252,1705,-512
253,1729,469
254,1745,-238
255,1766,-512
256,1785,-512
257,1810,375
258,1828,443
259,1845,-512
260,1868,-512
261,1893,-512
262,1917,-512
263,1940,-232
264,3,287
265,21,-313
266,38,259
267,56,237
268,73,286
269,100,-269
270,116,-231
271,135,-207
272,156,-300
273,169,240
274,186,213
275,203,213
276,220,212
277,237,-299
278,255,506
279,272,216
280,289,-211
281,307,-201
282,325,234
283,345,239
284,362,219
285,384,-205
286,403,-217
287,440,268
288,474,330
289,501,-271
290,524,-314
291,546,296
292,563,-223
293,581,-512
294,604,251
295,623,215
296,641,235
297,662,-276
298,675,-210
299,693,-245
300,709,-408
301,727,224
302,751,272
303,764,-277
304,782,1536
305,806,-512
306,834,291
307,852,-358
308,873,-339
309,886,-512
310,910,210
311,928,-512
312,955,-512
313,978,255
314,991,253
315,1010,216
316,1032,-232
317,1050,257
318,1077,-209
319,1098,286
320,1112,218
321,1132,235
322,1149,217
323,1167,-232
324,1191,287
325,1221,234
326,1242,-247
327,1267,208
328,1292,-211
329,1318,-203
330,1343,-238
331,1377,264
332,1402,-299
333,1430,-253
334,1464,278
335,1504,-512
336,1629,-512
337,1678,204
338,1713,-512
339,1747,303
340,1849,-299
341,1921,285
342,1946,-251
343,16,229
344,30,201
345,50,-236
346,66,234
347,86,225
348,101,-216
349,117,202
350,136,-219
351,146,279
352,167,209
353,178,215
354,192,260
355,216,218
356,232,223
357,246,-203
358,263,265
359,279,296
360,296,238
361,313,204
362,331,-257
363,348,261
364,364,-212
365,380,235
366,394,-234
367,410,509
368,425,-392
369,440,-444
370,455,-499
371,471,290
372,486,-337
373,502,-291
374,515,-227
375,533,-303
376,546,-368
377,563,206
378,576,262
379,592,-259
380,606,358
381,622,-216
382,638,285
383,653,-310
384,668,-207
385,683,-342
386,700,-277
387,713,-243
388,730,279
389,743,-512
390,761,-512
391,775,327
392,790,363
393,806,480
394,821,-512
395,844,-311
396,857,313
397,875,-512
398,902,285
399,915,230
400,930,-395
401,946,-254
402,960,-333
403,975,231
404,991,211
405,1015,289
406,1032,211
